coalition_id,members,size,mean_value,std_value,runs,notes
0,(),0,0.0,0.0,0,scenario=lazer2007;N=8;K=1;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7;empty coalition
1,"('0',)",1,0.60097496886971,0.027281072798393615,3,scenario=lazer2007;N=8;K=1;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
2,"('1',)",1,0.6359979586742811,0.03263067176488569,3,scenario=lazer2007;N=8;K=1;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
3,"('2',)",1,0.5483589983104049,0.05202272198808195,3,scenario=lazer2007;N=8;K=1;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
4,"('3',)",1,0.5811971295662338,0.045368380247185154,3,scenario=lazer2007;N=8;K=1;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
5,"('4',)",1,0.6008611318949469,0.015447385111054616,3,scenario=lazer2007;N=8;K=1;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
6,"('5',)",1,0.550586684486296,0.030820036646553303,3,scenario=lazer2007;N=8;K=1;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
7,"('6',)",1,0.5776035040376076,0.052190268898271525,3,scenario=lazer2007;N=8;K=1;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
8,"('7',)",1,0.6215463707505525,0.0272199358173255,3,scenario=lazer2007;N=8;K=1;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
9,"('0', '1')",2,0.6267399504512944,0.014675146644863843,3,scenario=lazer2007;N=8;K=1;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
10,"('0', '2')",2,0.6260199332089961,0.010550459088179193,3,scenario=lazer2007;N=8;K=1;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
