coalition_id,members,size,mean_value,std_value,runs,notes
0,(),0,0.0,0.0,0,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7;empty coalition
26,"('2', '7')",2,0.6084320321039827,0.06267718637884073,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
27,"('3', '4')",2,0.64938100439696,0.03896402322924449,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
28,"('3', '5')",2,0.6048852354535453,0.08744916500974328,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
29,"('3', '6')",2,0.5460782386857652,0.02801552019300996,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
30,"('3', '7')",2,0.5223878142627035,0.11023436130412818,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
31,"('4', '5')",2,0.5810975695856516,0.12381879501011112,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
32,"('4', '6')",2,0.5815486331974965,0.0687799219977711,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
33,"('4', '7')",2,0.5229395998273979,0.09810010381382434,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
34,"('5', '6')",2,0.6197096376679428,0.021191937292818663,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
35,"('5', '7')",2,0.5269097091684435,0.07042470362278047,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
36,"('6', '7')",2,0.6483158390304008,0.11470994056491242,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
37,"('0', '1', '2')",3,0.5787160741081419,0.06578174914466872,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
38,"('0', '1', '3')",3,0.6105882650583266,0.034366627417137585,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
39,"('0', '1', '4')",3,0.5396787146972822,0.05923273311789375,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
40,"('0', '1', '5')",3,0.6114638664271786,0.045327041845251215,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
41,"('0', '1', '6')",3,0.6175516358660859,0.019890820732707502,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
42,"('0', '1', '7')",3,0.5815628674061105,0.02277107876346702,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
43,"('0', '2', '3')",3,0.6077436835198514,0.008661581542629394,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
44,"('0', '2', '4')",3,0.5529984992490581,0.05145275358160757,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
45,"('0', '2', '5')",3,0.6015321457050492,0.050643973376688196,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
46,"('0', '2', '6')",3,0.5590188733022168,0.0173387407180499,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
47,"('0', '2', '7')",3,0.5858034709286125,0.030881931500720827,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
48,"('0', '3', '4')",3,0.5975021220646819,0.07182900900344531,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
